city_label,city_context,mechanism_type,ready_pct,priority_pct,hi_only_pct,lst_only_pct,both_pct,hi_minus_lst_hotspot_pct
San Francisco,Coastal / compact / bay-influenced,Strong HI-dominant,72.3076923076923,53.72340425531915,53.191489361702125,0.0,26.595744680851062,53.191489361702125
Miami,Coastal / humid,Strong HI-dominant,96.89922480620154,52.0,52.0,2.4,23.200000000000003,49.6
Boston,Coastal / temperate,Strong HI-dominant,92.27053140096618,47.64397905759162,47.64397905759162,11.518324607329845,13.612565445026178,36.12565445026178
Seattle,Coastal / Pacific Northwest / water-constrained,Moderate HI-dominant,94.47236180904522,38.297872340425535,32.97872340425532,21.808510638297875,3.1914893617021276,11.170212765957444
Atlanta,Inland / humid / sprawling Sun Belt,Moderate HI-dominant,100.0,33.6322869955157,32.28699551569507,18.385650224215247,6.726457399103139,13.90134529147982
Los Angeles,Coastal / dry,Moderate HI-dominant,97.47292418772562,32.407407407407405,25.925925925925924,17.77777777777778,7.222222222222221,8.148148148148145
Phoenix,Inland / desert,Mixed / transitional,100.0,31.92771084337349,18.373493975903617,14.156626506024098,10.843373493975903,4.216867469879515
Dallas,Inland / large Sun Belt / car-oriented,Mixed / transitional,100.0,29.398663697104677,18.70824053452116,12.694877505567929,12.47216035634744,6.013363028953231
Chicago,Great Lakes / large grid city,Moderate HI-dominant,100.0,28.55504587155963,17.545871559633028,6.536697247706422,18.46330275229358,11.009174311926609
Houston,Coastal / humid,Mixed / transitional,100.0,28.051001821493628,16.21129326047359,15.846994535519126,9.289617486338798,0.3642987249544624
New York,Coastal / megacity / dense core,Mixed / transitional,88.28752642706131,27.53831417624521,19.54022988505747,19.20498084291188,5.795019157088123,0.3352490421455911
Las Vegas,Inland / desert,Coupled LST-HI,100.0,26.200873362445417,8.951965065502183,8.951965065502183,16.157205240174672,0.0
