city_slug,city_label,csv_path,rows,n_A_cols,n_nonempty_A_cols,n_rows_any_A,n_rows_complete_A64,pct_rows_any_A,pct_rows_complete_A64
las_vegas,Las Vegas,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/alphaearth_10cities_A64_FINAL/00_city_csv_with_alphaearth/las_vegas_tracts_heat_ready_with_alphaearth.csv,458,64,64,458,458,100.0,100.0
los_angeles,Los Angeles,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/alphaearth_10cities_A64_FINAL/00_city_csv_with_alphaearth/los_angeles_tracts_heat_ready_with_alphaearth.csv,1108,64,64,1108,1108,100.0,100.0
miami,Miami,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/alphaearth_10cities_A64_FINAL/00_city_csv_with_alphaearth/miami_tracts_heat_ready_with_alphaearth.csv,129,64,64,129,129,100.0,100.0
boston,Boston,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/alphaearth_10cities_A64_FINAL/00_city_csv_with_alphaearth/boston_tracts_heat_ready_with_alphaearth.csv,207,64,64,207,207,100.0,100.0
san_francisco,San Francisco,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/alphaearth_10cities_A64_FINAL/00_city_csv_with_alphaearth/san_francisco_tracts_heat_ready_with_alphaearth.csv,260,64,64,260,260,100.0,100.0
atlanta,Atlanta,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/alphaearth_10cities_A64_FINAL/00_city_csv_with_alphaearth/atlanta_tracts_heat_ready_with_alphaearth.csv,223,64,64,223,223,100.0,100.0
seattle,Seattle,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/alphaearth_10cities_A64_FINAL/00_city_csv_with_alphaearth/seattle_tracts_heat_ready_with_alphaearth.csv,199,64,64,199,199,100.0,100.0
chicago,Chicago,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/alphaearth_10cities_A64_FINAL/00_city_csv_with_alphaearth/chicago_tracts_heat_ready_with_alphaearth.csv,872,64,64,872,872,100.0,100.0
dallas,Dallas,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/alphaearth_10cities_A64_FINAL/00_city_csv_with_alphaearth/dallas_tracts_heat_ready_with_alphaearth.csv,449,64,64,449,449,100.0,100.0
new_york,New York,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/alphaearth_10cities_A64_FINAL/00_city_csv_with_alphaearth/new_york_tracts_heat_ready_with_alphaearth.csv,2365,64,64,2365,2365,100.0,100.0
